0,0.6716053,0.629042,0.6418752,0.6350131,0.6449156,0.6324622,0.6304807,0.6534832,0.6316011,0.659214,0.6559747,0.6577201,0.6616135,0.6466712,0.6612095,0.6709719,0.6566358,0.6605733,0
0.6716053,0,0.6393877,0.6514153,0.6355857,0.6957392,0.6666012,0.6681991,0.6871186,0.6612106,0.6932193,0.647579,0.6600879,0.6473571,0.6596174,0.6878045,0.6871389,0.6616823,0.6544861,0
0.629042,0.6393877,0,0.6210482,0.6411161,0.6509717,0.6292024,0.6134479,0.6515664,0.6671333,0.6563642,0.6198128,0.6448484,0.6521193,0.6751812,0.6486909,0.6772186,0.6655791,0.64404,0
0.6418752,0.6514153,0.6210482,0,0.6510905,0.6737098,0.6278244,0.65911,0.6752896,0.6801704,0.6480277,0.6347903,0.6606018,0.6529455,0.6350795,0.6682143,0.6405952,0.6361558,0.6646505,0
0.6350131,0.6355857,0.6411161,0.6510905,0,0.6647382,0.6486123,0.6672092,0.6579756,0.645383,0.6629413,0.6357614,0.6478763,0.6581737,0.6566459,0.6789886,0.6585436,0.6660408,0.654768,0
0.6449156,0.6957392,0.6509717,0.6737098,0.6647382,0,0.6293161,0.6754311,0.6463737,0.6739716,0.6505161,0.6657622,0.6962187,0.6539334,0.6638386,0.6742213,0.6519253,0.662918,0.6933941,0
0.6324622,0.6666012,0.6292024,0.6278244,0.6486123,0.6293161,0,0.626985,0.6614864,0.6443196,0.6147109,0.6483187,0.6487009,0.6122068,0.6111718,0.6487518,0.6213232,0.5811421,0.623792,0
0.6304807,0.6681991,0.6134479,0.65911,0.6672092,0.6754311,0.626985,0,0.6825505,0.6486109,0.6397528,0.6378179,0.6549777,0.628005,0.6316082,0.6562457,0.6700861,0.6272731,0.6300084,0
0.6534832,0.6871186,0.6515664,0.6752896,0.6579756,0.6463737,0.6614864,0.6825505,0,0.6597956,0.6783553,0.6366823,0.6550001,0.6442765,0.6671721,0.621672,0.6736127,0.6647572,0.6713678,0
0.6316011,0.6612106,0.6671333,0.6801704,0.645383,0.6739716,0.6443196,0.6486109,0.6597956,0,0.6937827,0.6515812,0.6382453,0.6797036,0.6597842,0.6859396,0.6768207,0.6271829,0.6481985,0
0.659214,0.6932193,0.6563642,0.6480277,0.6629413,0.6505161,0.6147109,0.6397528,0.6783553,0.6937827,0,0.6560406,0.6829589,0.6367262,0.6423706,0.6880473,0.6361416,0.6603293,0.6736557,0
0.6559747,0.647579,0.6198128,0.6347903,0.6357614,0.6657622,0.6483187,0.6378179,0.6366823,0.6515812,0.6560406,0,0.6677887,0.6355005,0.649231,0.6547048,0.6607619,0.6810109,0.6689598,0
0.6577201,0.6600879,0.6448484,0.6606018,0.6478763,0.6962187,0.6487009,0.6549777,0.6550001,0.6382453,0.6829589,0.6677887,0,0.6478578,0.6763212,0.6716891,0.6597331,0.6253788,0.6373869,0
0.6616135,0.6473571,0.6521193,0.6529455,0.6581737,0.6539334,0.6122068,0.628005,0.6442765,0.6797036,0.6367262,0.6355005,0.6478578,0,0.6275197,0.6664589,0.6329368,0.6267835,0.6636152,0
0.6466712,0.6596174,0.6751812,0.6350795,0.6566459,0.6638386,0.6111718,0.6316082,0.6671721,0.6597842,0.6423706,0.649231,0.6763212,0.6275197,0,0.6793584,0.6489026,0.6141558,0.6678224,0
0.6612095,0.6878045,0.6486909,0.6682143,0.6789886,0.6742213,0.6487518,0.6562457,0.621672,0.6859396,0.6880473,0.6547048,0.6716891,0.6664589,0.6793584,0,0.6556711,0.652632,0.6762219,0
0.6709719,0.6871389,0.6772186,0.6405952,0.6585436,0.6519253,0.6213232,0.6700861,0.6736127,0.6768207,0.6361416,0.6607619,0.6597331,0.6329368,0.6489026,0.6556711,0,0.6500154,0.6614545,0
0.6566358,0.6616823,0.6655791,0.6361558,0.6660408,0.662918,0.5811421,0.6272731,0.6647572,0.6271829,0.6603293,0.6810109,0.6253788,0.6267835,0.6141558,0.652632,0.6500154,0,0.6429161,0
0.6605733,0.6544861,0.64404,0.6646505,0.654768,0.6933941,0.623792,0.6300084,0.6713678,0.6481985,0.6736557,0.6689598,0.6373869,0.6636152,0.6678224,0.6762219,0.6614545,0.6429161,0,0
0.5612197,0.5943741,0.5448049,0.5248734,0.5617886,0.5772946,0.4868505,0.5649361,0.5502015,0.5836292,0.5616786,0.5437168,0.5670885,0.5448933,0.5275149,0.5763276,0.5457169,0.5158686,0.5738066,0
